"Timestamp","Do you agree to participate voluntarily in this research survey?","Age Group","Gender","Field of Study (Optional)","Current Occupation / Status"," [Felt upset because of something unexpected]"," [Felt unable to control important things in life]"," [Felt nervous and stressed]"," [Felt confident about handling personal problems]"," [Felt things were going your way]"," [Could not cope with all things you had to do]"," [Able to control irritations]"," [Felt on top of things]"," [Angered by things outside your control]"," [Felt difficulties piling up]"," [I feel mentally exhausted]"," [At the end of the day, I find it hard to recover my energy]"," [I feel physically exhausted]"," [I struggle to find enthusiasm for my daily activities]"," [I feel indifferent about my work/studies]"," [I feel cynical about what I do]"," [I have trouble staying focused]"," [I struggle to think clearly]"," [I make mistakes because my mind is on other things]"," [I feel unable to control my emotions]"," [I do not recognize myself in the way I react emotionally]"," [I may overreact unintentionally]","Average sleep duration per night","Daily screen time (non-academic/work)","How often do you take breaks during study/work? ","Describe how you have been feeling mentally and emotionally over the past few weeks.","What are the main factors currently causing you stress or mental exhaustion?","Would you like access to mental health support resources?"
"2026/02/04 8:11:18 pm GMT+5:30","I Agree","15-18","Male","JEE","School Student","Sometimes","Sometimes","Almost Never","Very Often","Sometimes","Fairly Often","Fairly Often","Fairly Often","Sometimes","Sometimes","Rarely","Never","Rarely","Sometimes","Sometimes","Never","Often","Never","Never","Never","Never","Rarely","More than 7 hours","More than 6 hours","Regularly","This is what I want to study but I can't.","Mobile ","No"
"2026/02/04 8:19:19 pm GMT+5:30","I Agree","15-18","Male","","School Student","Sometimes","Almost Never","Sometimes","Almost Never","Never","Almost Never","Never","Almost Never","Almost Never","Almost Never","Often","Often","Sometimes","Always","Often","Sometimes","Often","Often","Often","Sometimes","Often","Often","6-7 hours","More than 6 hours","Regularly","Idk but yeah very much","Family pressure, studies ","Yes"
"2026/02/04 8:20:55 pm GMT+5:30","I Agree","15-18","Female","","School Student","Very Often","Very Often","Fairly Often","Sometimes","Sometimes","Fairly Often","Never","Sometimes","Very Often","Very Often","Always","Always","Always","Often","Always","Often","Always","Always","Always","Always","Always","Always","Less than 5 hours","More than 6 hours","Regularly","i do feel as if things are not the way they are meant to be. i do feel as if there is something i have to face alone along. Anxiety englufs me whenever i try to do something and there is something so unsettling within me.","main factora if i say is some sort of perssure due to exams and 'family problem'","Yes"
"2026/02/04 8:35:17 pm GMT+5:30","I Agree","15-18","Male","","School Student","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Less than 5 hours","4–6 hours","Regularly","Padhai","Padhai","Yes"
"2026/02/04 9:03:45 pm GMT+5:30","I Agree","15-18","Female","","School Student","Very Often","Sometimes","Fairly Often","Fairly Often","Sometimes","Sometimes","Never","Fairly Often","Almost Never","Never","Often","Sometimes","Rarely","Always","Always","Sometimes","Often","Rarely","Sometimes","Sometimes","Rarely","Often","More than 7 hours","More than 6 hours","Regularly","Sometimes good sometimes exhausted","Social media","Yes"
"2026/02/04 9:12:09 pm GMT+5:30","I Agree","15-18","Male","Upsc","School Student","Very Often","Very Often","Sometimes","Sometimes","Sometimes","Very Often","Almost Never","Sometimes","Very Often","Very Often","Sometimes","Never","Never","Never","Never","Never","Sometimes","Never","Always","Never","Always","Always","6-7 hours","2–4 hours","Sometimes","When my marks get lower and when my parents beat me","My boards exam","Yes"
"2026/02/04 9:16:14 pm GMT+5:30","I Agree","31-45","Male","","Working Professional","Sometimes","Sometimes","Sometimes","Fairly Often","Sometimes","Sometimes","Almost Never","Fairly Often","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Often","Sometimes","Often","Sometimes","Sometimes","Rarely","Often","Sometimes","Rarely","5-6 hours","2–4 hours","Sometimes","I feel exhausted and want to take break","Future","No"
"2026/02/04 9:32:03 pm GMT+5:30","I Agree","15-18","Male","","School Student","Very Often","Sometimes","Very Often","Almost Never","Sometimes","Almost Never","Sometimes","Sometimes","Very Often","Very Often","Often","Sometimes","Sometimes","Always","Always","Sometimes","Always","Always","Often","Always","Always","Never","6-7 hours","Less than 2 hours","Sometimes","Exhauated","Study for boards","No"
"2026/02/04 9:39:03 pm GMT+5:30","I Agree","23-30","Male","","Working Professional","Sometimes","Almost Never","Sometimes","Fairly Often","Fairly Often","Sometimes","Fairly Often","Fairly Often","Almost Never","Almost Never","Never","Rarely","Rarely","Rarely","Often","Sometimes","Never","Never","Sometimes","Never","Always","Never","6-7 hours","4–6 hours","Regularly","Mentally good ","Financial issue ","Yes"
"2026/02/04 9:39:51 pm GMT+5:30","I Agree","19-22","Female","","College Student","Fairly Often","Very Often","Fairly Often","Sometimes","Sometimes","Sometimes","Almost Never","Sometimes","Fairly Often","Fairly Often","Sometimes","Sometimes","Often","Sometimes","Rarely","Rarely","Often","Sometimes","Often","Sometimes","Often","Sometimes","6-7 hours","4–6 hours","Regularly","Detached or Irritable","Relationship Conflicts ","No"
"2026/02/04 9:45:49 pm GMT+5:30","I Agree","19-22","Female","","College Student","Fairly Often","Almost Never","Sometimes","Very Often","Fairly Often","Almost Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Rarely","Rarely","Rarely","Rarely","Rarely","5-6 hours","4–6 hours","Regularly","Currently I am satisfied with my mental and emotional state.","College classes gaps","No"
"2026/02/04 9:47:32 pm GMT+5:30","I Agree","31-45","Male","Pharmaline","Working Professional","Sometimes","Sometimes","Never","Very Often","Sometimes","Never","Very Often","Never","Fairly Often","Never","Never","Never","Sometimes","Never","Never","Never","Rarely","Never","Often","Never","Never","Never","6-7 hours","2–4 hours","Sometimes","Free minded
","Family problem ","No"
"2026/02/04 10:09:14 pm GMT+5:30","I Agree","31-45","Male","","Working Professional","Sometimes","Sometimes","Almost Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Almost Never","Sometimes","Rarely","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","6-7 hours","2–4 hours","Regularly","I feel very happy and positive.","Sometimes at work place when I  do my work with hard work but my seniors not appreciate it and credit goes to other then it cause stress and mental exhaustion.","Yes"
"2026/02/04 11:23:03 pm GMT+5:30","I Agree","23-30","Male","Computer Science","Working Professional","Sometimes","Almost Never","Almost Never","Very Often","Very Often","Very Often","Very Often","Almost Never","Very Often","Very Often","Rarely","Never","Never","Never","Never","Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","6-7 hours","2–4 hours","Regularly","I’m feeling good and able to do my daily work in a timely manner, my emotional state is also in much better state. ","I’m finding it difficult to prioritise some personal tasks due to ongoing official work, which is leading to stress and mental exhaustion.","Yes"
"2026/02/04 11:26:23 pm GMT+5:30","I Agree","19-22","Male","Btech ","College Student","Never","Almost Never","Never","Never","Sometimes","Never","Never","Never","Almost Never","Never","Never","Never","Sometimes","Never","Never","Sometimes","Rarely","Never","Rarely","Rarely","Never","Rarely","More than 7 hours","More than 6 hours","Rarely","Just chilling ","Family problems ","No"
"2026/02/05 12:10:10 am GMT+5:30","I Agree","15-18","Female","","School Student","Sometimes","Almost Never","Fairly Often","Very Often","Fairly Often","Sometimes","Sometimes","Sometimes","Very Often","Sometimes","Rarely","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Always","Often","Often","Always","Always","Always","More than 7 hours","2–4 hours","Regularly","Not that greatt , but okay","Boards","Yes"
"2026/02/05 2:23:28 am GMT+5:30","I Agree","23-30","Male","","Working Professional","Very Often","Sometimes","Sometimes","Almost Never","Sometimes","Sometimes","Never","Almost Never","Sometimes","Never","Sometimes","Rarely","Rarely","Rarely","Sometimes","Never","Often","Sometimes","Rarely","Often","Always","Never","More than 7 hours","More than 6 hours","Regularly","Sometimes Feels Exhausted And Sometimes Feels Good.","I Feel Very Exhausted And Stressed Because Of My Past Relationship.","No"
"2026/02/05 5:22:04 am GMT+5:30","I Agree","15-18","Female","Class 10th ","School Student","Almost Never","Sometimes","Sometimes","Very Often","Almost Never","Sometimes","Fairly Often","Sometimes","Fairly Often","Sometimes","Sometimes","Rarely","Rarely","Never","Rarely","Never","Sometimes","Rarely","Sometimes","Never","Often","Sometimes","5-6 hours","2–4 hours","Sometimes","Sometimes it feels like giving up but after all.....,I only have to make things better for myself ","Class 10th Board examination ","Yes"
"2026/02/05 9:11:15 am GMT+5:30","I Agree","31-45","Male","","Working Professional","Sometimes","Sometimes","Almost Never","Never","Sometimes","Fairly Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Never","Sometimes","Often","Never","Never","Never","Never","Never","Rarely","6-7 hours","More than 6 hours","Sometimes","Normal ","Responsibility ","No"
"2026/02/05 9:17:04 am GMT+5:30","I Agree","15-18","Male","Class 11th standard ","School Student","Sometimes","Sometimes","Very Often","Sometimes","Fairly Often","Fairly Often","Sometimes","Fairly Often","Sometimes","Fairly Often","Rarely","Often","Sometimes","Sometimes","Always","Rarely","Sometimes","Often","Often","Rarely","Never","Sometimes","More than 7 hours","More than 6 hours","Regularly","Over the past few weeks, I’ve felt a mix of motivation and stress. Some days I’m focused and productive, while other days I feel tired and mentally overwhelmed.","The main factors are academic pressure, overthinking about the future, managing multiple responsibilities, and lack of proper rest, which together cause mental fatigue and stress.","Yes"
"2026/02/05 9:50:38 pm GMT+5:30","I Agree","31-45","Female","","Other","Fairly Often","Fairly Often","Sometimes","Fairly Often","Sometimes","Fairly Often","Sometimes","Very Often","Almost Never","Sometimes","Sometimes","Sometimes","Rarely","Often","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Often","Always","6-7 hours","2–4 hours","Regularly","Feeling good","Family problems ","No"
"2026/02/06 5:49:22 pm GMT+5:30","I Agree","31-45","Female","","Other","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Sometimes","Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Sometimes","Sometimes","Sometimes","Sometimes","6-7 hours","2–4 hours","Sometimes","Excellent","Nothing ","No"
"2026/02/07 10:36:39 am GMT+5:30","I Agree","19-22","Female","B tech CSE","College Student","Sometimes","Sometimes","Fairly Often","Sometimes","Almost Never","Very Often","Almost Never","Almost Never","Fairly Often","Very Often","Often","Sometimes","Often","Often","Always","Often","Always","Often","Sometimes","Often","Always","Always","6-7 hours","2–4 hours","Rarely","In the past few weeks, i have been mentally exhausted and i acted irrationally. I get irritated easily.","It could be people around me as well as work piling up.","Yes"
"2026/02/07 10:51:29 am GMT+5:30","I Agree","19-22","Male","","College Student","Very Often","Fairly Often","Very Often","Very Often","Never","Sometimes","Sometimes","Very Often","Very Often","Very Often","Always","Often","Always","Often","Always","Often","Always","Often","Always","Often","Always","Often","6-7 hours","2–4 hours","Regularly","Disturbed ","Trading ","No"
"2026/02/07 11:05:29 am GMT+5:30","I Agree","19-22","Male","Cybersecurity ","College Student","Very Often","Very Often","Fairly Often","Very Often","Almost Never","Fairly Often","Very Often","Fairly Often","Very Often","Very Often","Always","Always","Often","Always","Always","Always","Always","Sometimes","Often","Rarely","Sometimes","Always","Less than 5 hours","4–6 hours","Regularly",".",".","No"
"2026/02/07 11:28:55 am GMT+5:30","I Agree","19-22","Male","","College Student","Fairly Often","Very Often","Very Often","Fairly Often","Sometimes","Almost Never","Never","Sometimes","Very Often","Sometimes","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Never","Often","Sometimes","Often","Often","5-6 hours","4–6 hours","Sometimes","Exhausted ","Recent personal problems ","No"
"2026/02/07 8:59:58 pm GMT+5:30","I do not agree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/02/07 9:35:03 pm GMT+5:30","I Agree","19-22","Male","","College Student","Almost Never","Almost Never","Sometimes","Never","Very Often","Never","Very Often","Sometimes","Sometimes","Never","Rarely","Sometimes","Rarely","Rarely","Sometimes","Rarely","Sometimes","Rarely","Sometimes","Rarely","Sometimes","Rarely","5-6 hours","2–4 hours","Regularly","Pretty much normal","Right now none, sometimes some burn out and all","Yes"
"2026/02/07 11:53:37 pm GMT+5:30","I Agree","19-22","Female","","College Student","Very Often","Fairly Often","Fairly Often","Fairly Often","Sometimes","Sometimes","Fairly Often","Sometimes","Very Often","Very Often","Rarely","Rarely","Rarely","Rarely","Sometimes","Rarely","Always","Often","Sometimes","Often","Sometimes","Often","5-6 hours","4–6 hours","Regularly","Very much","Career and social movement ","No"
"2026/02/08 10:50:25 am GMT+5:30","I Agree","19-22","Female","Btech CSE","College Student","Sometimes","Sometimes","Sometimes","Fairly Often","Fairly Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Sometimes","Rarely","Sometimes","6-7 hours","2–4 hours","Regularly","Fantastic ","None","No"
"2026/02/08 2:32:38 pm GMT+5:30","I Agree","15-18","Male","","School Student","Almost Never","Sometimes","Fairly Often","Sometimes","Fairly Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Never","Sometimes","Sometimes","Rarely","Never","Rarely","Rarely","Never","Sometimes","Rarely","6-7 hours","2–4 hours","Regularly","Fine enough to live the life","Studies and future pressure ","Yes"
"2026/02/08 2:38:20 pm GMT+5:30","I Agree","19-22","Prefer not to say","","College Student","Fairly Often","Very Often","Very Often","Sometimes","Sometimes","Very Often","Sometimes","Almost Never","Fairly Often","Very Often","Always","Always","Always","Always","Sometimes","Sometimes","Often","Often","Rarely","Often","Often","Sometimes","More than 7 hours","2–4 hours","Regularly","Better than before but still stressed and exhausted and confused","Academics and career","Yes"
"2026/02/09 11:09:02 am GMT+5:30","I Agree","19-22","Male","Software Engineer ","College Student","Sometimes","Sometimes","Sometimes","Almost Never","Almost Never","Almost Never","Almost Never","Almost Never","Sometimes","Almost Never","Rarely","Rarely","Rarely","Sometimes","Rarely","Rarely","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Sometimes","6-7 hours","Less than 2 hours","Regularly","N/A","N/A","Yes"
"2026/02/10 1:53:27 pm GMT+5:30","I Agree","31-45","Male","","Other","Sometimes","Sometimes","Almost Never","Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","5-6 hours","2–4 hours","Regularly","im ok ","im ok not applicable","No"
"2026/02/24 9:26:52 pm GMT+5:30","I Agree","31-45","Male","","Working Professional","Sometimes","Sometimes","Fairly Often","Sometimes","Fairly Often","Sometimes","Fairly Often","Fairly Often","Sometimes","Fairly Often","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Often","Often","Often","Sometimes","Often","Sometimes","Sometimes","Less than 5 hours","More than 6 hours","Regularly","I am in  mental stress due to some serious domestic problems for the past few weeks.","Health issues related to my mother and wife.","No"
"2026/02/28 1:24:03 pm GMT+5:30","I Agree","23-30","Male","","Working Professional","Sometimes","Sometimes","Sometimes","Sometimes","Almost Never","Sometimes","Sometimes","Almost Never","Sometimes","Sometimes","Never","Never","Never","Rarely","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Never","Never","6-7 hours","2–4 hours","Regularly","Feeling Good ","Nothing ","No"
"2026/02/28 1:38:53 pm GMT+5:30","I Agree","31-45","Male","","Working Professional","Sometimes","Never","Sometimes","Sometimes","Sometimes","Sometimes","Fairly Often","Sometimes","Sometimes","Fairly Often","Never","Rarely","Never","Never","Rarely","Rarely","Always","Rarely","Rarely","Rarely","Rarely","Rarely","6-7 hours","2–4 hours","Regularly","Feeling Good when workout during morning everyday","Rarely when overloaded the work","No"
